hotel_name,url,hotel_url,avg_rating,tags,total_positive,total_negative,total_neutral,total_reviews
Silver Retreat,https://www.booking.com/reviews/be/hotel/apartments-breydelhof.en-gb.html?label=gen173nr-1DCA0oFUIVYXBhcnRtZW50cy1icmV5ZGVsaG9mSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKEtdeHBsACAdICJGZlYWE2ZmIyLWUwYTktNGZiZi1iYzllLWFlNDk5NTYzOWJiZtgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total;hp_nav=0;old_page=0;order=featuredreviews;page=2;r_lang=en;rows=75&,https://www.booking.com/hotel/be/apartments-breydelhof.en-gb.html?label=gen173nr-1DCA0oFUIVYXBhcnRtZW50cy1icmV5ZGVsaG9mSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKEtdeHBsACAdICJGZlYWE2ZmIyLWUwYTktNGZiZi1iYzllLWFlNDk5NTYzOWJiZtgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,8.7,Family Studio~Leisure trip~Group~Stayed 3 nights~Stayed 2 nights~Studio (2 Adults)~Couple~Stayed 6 nights~Submitted via mobile,3,0,1,4
Blue View Suites,https://www.booking.com/reviews/by/hotel/apartments-pushkin.en-gb.html?label=gen173nr-1DCA0oJUISYXBhcnRtZW50cy1wdXNoa2luSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALct9eHBsACAdICJDlmMWZhM2RhLTZjYTktNGQ0Yi05Nzc3LTkxMTRhYjhhNTczN9gCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/by/apartments-pushkin.en-gb.html?label=gen173nr-1DCA0oJUISYXBhcnRtZW50cy1wdXNoa2luSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALct9eHBsACAdICJDlmMWZhM2RhLTZjYTktNGQ0Yi05Nzc3LTkxMTRhYjhhNTczN9gCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,9.5,"Stayed 4 nights~Leisure trip~Solo traveller~Business trip~Stayed 1 night~Family Apartment (3 Adults) - E. Polotskoy Street, 1~Group~Economy Apartment (3 Adults) - Prititskogo Street, 39~Stayed 3 nights~Stayed 2 nights~Couple~One-Bedroom Apartment~Submitted via mobile",6,0,0,6
Royal Park Retreat,https://www.booking.com/reviews/be/hotel/appart-mons-city-concept-terrasse-amp-grand-place.en-gb.html?label=gen173nr-1DCA0oFUIxYXBwYXJ0LW1vbnMtY2l0eS1jb25jZXB0LXRlcnJhc3NlLWFtcC1ncmFuZC1wbGFjZUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCnLnXhwbAAgHSAiRlM2ViNWIxMi00NmU0LTQ4OWYtYWI2ZC1iZjQ4NWFmYzBlNTHYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/appart-mons-city-concept-terrasse-amp-grand-place.en-gb.html?label=gen173nr-1DCA0oFUIxYXBwYXJ0LW1vbnMtY2l0eS1jb25jZXB0LXRlcnJhc3NlLWFtcC1ncmFuZC1wbGFjZUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCnLnXhwbAAgHSAiRlM2ViNWIxMi00NmU0LTQ4OWYtYWI2ZC1iZjQ4NWFmYzBlNTHYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,9.7,Stayed 4 nights~Leisure trip~Solo traveller~Business trip~People with friends~Stayed 3 nights~Stayed 5 nights~Stayed 2 nights~Couple~One-Bedroom Apartment~Submitted via mobile~Family with young children,7,0,0,7
Modern View Hotel,https://www.booking.com/reviews/be/hotel/appart-belle-vue.en-gb.html?label=gen173nr-1BCA0oFUIQYXBwYXJ0LWJlbGxlLXZ1ZUgzWARobIgBAZgBCbgBB8gBDdgBAegBAYgCAagCA7gC7anXhwbAAgHSAiQzMzM2ZDdjMC1kYjZiLTQwNWEtYjg2Ny03MmIyMWVlMDdhOWXYAgXgAgE;sid=3ffdcb031eadd5e322648059db23e6dc;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/appart-belle-vue.en-gb.html?label=gen173nr-1FCA0oFUIQYXBwYXJ0LWJlbGxlLXZ1ZUgzWARobIgBAZgBCbgBB8gBDdgBAegBAfgBC4gCAagCA7gC7anXhwbAAgHSAiQzMzM2ZDdjMC1kYjZiLTQwNWEtYjg2Ny03MmIyMWVlMDdhOWXYAgbgAgE;sid=3ffdcb031eadd5e322648059db23e6dc,7.9,Leisure trip~One-Bedroom Apartment (2 Adults)~Stayed 1 night~Solo traveller~Double Room~Single Room~Business trip~Group~Deluxe Suite~Stayed 7 nights~Stayed 2 nights~Couple~Submitted via mobile~Family with young children,9,1,9,19
Crystal Bay Lodge,https://www.booking.com/reviews/be/hotel/appartement-chez-agnes-schaerbeek1.en-gb.html?label=gen173nr-1DCA0oFUIiYXBwYXJ0ZW1lbnQtY2hlei1hZ25lcy1zY2hhZXJiZWVrMUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC-8LXhwbAAgHSAiQ4ZWNkMTUxNi1iNjQ4LTQxMzMtODUzOC00OTc2YjQ0MWJhNDbYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/appartement-chez-agnes-schaerbeek1.en-gb.html?label=gen173nr-1DCA0oFUIiYXBwYXJ0ZW1lbnQtY2hlei1hZ25lcy1zY2hhZXJiZWVrMUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC-8LXhwbAAgHSAiQ4ZWNkMTUxNi1iNjQ4LTQxMzMtODUzOC00OTc2YjQ0MWJhNDbYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,9.4,Leisure trip~Stayed 8 nights~Solo traveller~Business trip~Stayed 1 night~Group~Stayed 3 nights~Couple~One-Bedroom Apartment~Stayed 14 nights~Submitted via mobile~Family with young children,5,0,0,5
Urban City Sanctuary,https://www.booking.com/reviews/be/hotel/residence-les-bleuets.en-gb.html?label=gen173nr-1DCA0oFUIVcmVzaWRlbmNlLWxlcy1ibGV1ZXRzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAL2rteHBsACAdICJDE5ZTQ5NjNmLWIwY2QtNDM5NC1hNGQyLWVlYjg3NjgyOGZlNtgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/residence-les-bleuets.en-gb.html?label=gen173nr-1DCA0oFUIVcmVzaWRlbmNlLWxlcy1ibGV1ZXRzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAL2rteHBsACAdICJDE5ZTQ5NjNmLWIwY2QtNDM5NC1hNGQyLWVlYjg3NjgyOGZlNtgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,9.4,Stayed 4 nights~Leisure trip~Solo traveller~Two-Bedroom Apartment~Stayed 3 nights~Submitted via mobile~Stayed 2 nights~Couple~Business trip~Family with young children,5,0,0,5
Majestic Palace,https://www.booking.com/reviews/be/hotel/appartement-moliere.en-gb.html?label=gen173nr-1DCA0oFUITYXBwYXJ0ZW1lbnQtbW9saWVyZUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCoLHXhwbAAgHSAiRkZTYwNTgxOC0yZDlhLTRmYTktYjg1ZC04YjY5MTg2ZTg2NDnYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/appartement-moliere.en-gb.html?label=gen173nr-1DCA0oFUITYXBwYXJ0ZW1lbnQtbW9saWVyZUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCoLHXhwbAAgHSAiRkZTYwNTgxOC0yZDlhLTRmYTktYjg1ZC04YjY5MTg2ZTg2NDnYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,9.3,Leisure trip~Solo traveller~Stayed 1 night~Group~Two-Bedroom Apartment~Stayed 3 nights~Submitted via mobile~Stayed 2 nights~Couple~Stayed 5 nights~Business trip~Family with young children,9,0,0,9
Sunny Bay Retreat,https://www.booking.com/reviews/be/hotel/appartement-seaview-bunnenplein.en-gb.html?label=gen173nr-1DCA0oFUIfYXBwYXJ0ZW1lbnQtc2Vhdmlldy1idW5uZW5wbGVpbkgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC8sfXhwbAAgHSAiQ4NmVkYWVjZC1iNWY3LTQ4NDktOTJiMC0yNjEyM2ZmODIxOGTYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/appartement-seaview-bunnenplein.en-gb.html?label=gen173nr-1DCA0oFUIfYXBwYXJ0ZW1lbnQtc2Vhdmlldy1idW5uZW5wbGVpbkgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC8sfXhwbAAgHSAiQ4NmVkYWVjZC1iNWY3LTQ4NDktOTJiMC0yNjEyM2ZmODIxOGTYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,8.8,Leisure trip~With a pet~Stayed 3 nights~Apartment~Stayed 2 nights~Couple~Submitted via mobile~Family with young children,2,0,1,3
Green Villa,https://www.booking.com/reviews/be/hotel/appartement224-grimbergen.en-gb.html?label=gen173nr-1DCA0oFUIZYXBwYXJ0ZW1lbnQyMjQtZ3JpbWJlcmdlbkgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC9MXXhwbAAgHSAiRlNTg5NGNlNS05ZjdkLTRhN2ItYjlhMi03NWU3NzUzNjNlOWLYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/appartement224-grimbergen.en-gb.html?label=gen173nr-1DCA0oFUIZYXBwYXJ0ZW1lbnQyMjQtZ3JpbWJlcmdlbkgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC9MXXhwbAAgHSAiRlNTg5NGNlNS05ZjdkLTRhN2ItYjlhMi03NWU3NzUzNjNlOWLYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,9.0,Stayed 4 nights~Leisure trip~Stayed 8 nights~Solo traveller~Business trip~People with friends~Group~Stayed 3 nights~Apartment~Stayed 2 nights~Couple~Stayed 6 nights~Submitted via mobile~Family with young children,9,0,0,9
Green Bay Sanctuary,https://www.booking.com/reviews/be/hotel/ardenne-b-amp-b.en-gb.html?label=gen173nr-1DCA0oFUIPYXJkZW5uZS1iLWFtcC1iSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALNtNeHBsACAdICJGNkOGMyMjU4LWUwMmUtNGRiNy1iMDZkLWNlMGU3Y2NkYzUxM9gCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/ardenne-b-amp-b.en-gb.html?label=gen173nr-1DCA0oFUIPYXJkZW5uZS1iLWFtcC1iSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALNtNeHBsACAdICJGNkOGMyMjU4LWUwMmUtNGRiNy1iMDZkLWNlMGU3Y2NkYzUxM9gCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,9.3,Leisure trip~Stayed 1 night~Solo traveller~Business trip~Stayed 3 nights~Submitted via mobile~Stayed 2 nights~Couple~Suite~Family with young children,8,0,0,8
Majestic Retreat,https://www.booking.com/reviews/be/hotel/ardn-bnb.en-gb.html?label=gen173nr-1DCA0oFUIIYXJkbi1ibmJIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4ArWu14cGwAIB0gIkZDc3M2Q5YmItMDM4Mi00NjJjLTkwOGUtYmU2MTkyM2FiZTQ32AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/ardn-bnb.en-gb.html?label=gen173nr-1DCA0oFUIIYXJkbi1ibmJIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4ArWu14cGwAIB0gIkZDc3M2Q5YmItMDM4Mi00NjJjLTkwOGUtYmU2MTkyM2FiZTQ32AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862,9.1,Stayed 4 nights~Leisure trip~Solo traveller~People with friends~Two-Bedroom Apartment~Stayed 3 nights~Stayed 2 nights~Couple~One-Bedroom Apartment~Submitted via mobile~Family with young children,11,0,0,11
Green Retreat,https://www.booking.com/reviews/be/hotel/arisgrandplace.en-gb.html?label=gen173nr-1DCA0oFUIOYXJpc2dyYW5kcGxhY2VIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4Aryu14cGwAIB0gIkOGUyYWJiOGMtYjlkZC00NDI2LWIxNGYtNDQ0OTllOTU1NTcz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/arisgrandplace.en-gb.html?label=gen173nr-1DCA0oFUIOYXJpc2dyYW5kcGxhY2VIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4Aryu14cGwAIB0gIkOGUyYWJiOGMtYjlkZC00NDI2LWIxNGYtNDQ0OTllOTU1NTcz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862,8.3,Classic Single Room~Leisure trip~Stayed 1 night~Solo traveller~Business trip~People with friends~Group~Family Double Room~Superior Queen Room~Superior Twin Room~Stayed 3 nights~Premium King Room~Stayed 2 nights~Couple~Stayed 6 nights~Submitted via mobile~Family with young children,18,0,5,23
Atlantic City Resort,https://www.booking.com/reviews/be/hotel/arisgrandplace.en-gb.html?label=gen173nr-1DCA0oFUIOYXJpc2dyYW5kcGxhY2VIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4Aryu14cGwAIB0gIkOGUyYWJiOGMtYjlkZC00NDI2LWIxNGYtNDQ0OTllOTU1NTcz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total;hp_nav=0;old_page=0;order=featuredreviews;page=2;r_lang=en;rows=75&,https://www.booking.com/hotel/be/arisgrandplace.en-gb.html?label=gen173nr-1DCA0oFUIOYXJpc2dyYW5kcGxhY2VIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4Aryu14cGwAIB0gIkOGUyYWJiOGMtYjlkZC00NDI2LWIxNGYtNDQ0OTllOTU1NTcz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862,8.3,Classic Single Room~Stayed 4 nights~Leisure trip~Stayed 1 night~Solo traveller~Business trip~People with friends~Group~Superior Queen Room~Stayed 3 nights~Premium King Room~Stayed 2 nights~Couple~Superior Twin Room~Submitted via mobile~Family with young children,14,0,10,24
Diamond Haven,https://www.booking.com/reviews/be/hotel/arisgrandplace.en-gb.html?label=gen173nr-1DCA0oFUIOYXJpc2dyYW5kcGxhY2VIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4Aryu14cGwAIB0gIkOGUyYWJiOGMtYjlkZC00NDI2LWIxNGYtNDQ0OTllOTU1NTcz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total;hp_nav=0;old_page=0;order=featuredreviews;page=3;r_lang=en;rows=75&,https://www.booking.com/hotel/be/arisgrandplace.en-gb.html?label=gen173nr-1DCA0oFUIOYXJpc2dyYW5kcGxhY2VIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4Aryu14cGwAIB0gIkOGUyYWJiOGMtYjlkZC00NDI2LWIxNGYtNDQ0OTllOTU1NTcz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862,8.3,Classic Single Room~Stayed 4 nights~Leisure trip~Stayed 1 night~Solo traveller~Business trip~People with friends~Group~Classic Double or Twin Room~Family Double Room~Superior Queen Room~Stayed 3 nights~Premium King Room~Stayed 2 nights~Couple~Superior Twin Room~Submitted via mobile~Family with young children,16,0,8,24
Blue Retreat,https://www.booking.com/reviews/be/hotel/arisgrandplace.en-gb.html?label=gen173nr-1DCA0oFUIOYXJpc2dyYW5kcGxhY2VIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4Aryu14cGwAIB0gIkOGUyYWJiOGMtYjlkZC00NDI2LWIxNGYtNDQ0OTllOTU1NTcz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total;hp_nav=0;old_page=0;order=featuredreviews;page=4;r_lang=en;rows=75&,https://www.booking.com/hotel/be/arisgrandplace.en-gb.html?label=gen173nr-1DCA0oFUIOYXJpc2dyYW5kcGxhY2VIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4Aryu14cGwAIB0gIkOGUyYWJiOGMtYjlkZC00NDI2LWIxNGYtNDQ0OTllOTU1NTcz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862,8.3,Classic Single Room~Stayed 4 nights~Leisure trip~Solo traveller~Stayed 1 night~People with friends~Family Double Room~Group~Superior Queen Room~Stayed 3 nights~Premium King Room~Submitted via mobile~Stayed 2 nights~Couple~Superior Twin Room~Business trip~Family with young children,19,0,6,25
Comfort Suites,https://www.booking.com/reviews/be/hotel/arisgrandplace.en-gb.html?label=gen173nr-1DCA0oFUIOYXJpc2dyYW5kcGxhY2VIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4Aryu14cGwAIB0gIkOGUyYWJiOGMtYjlkZC00NDI2LWIxNGYtNDQ0OTllOTU1NTcz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total;hp_nav=0;old_page=0;order=featuredreviews;page=5;r_lang=en;rows=75&,https://www.booking.com/hotel/be/arisgrandplace.en-gb.html?label=gen173nr-1DCA0oFUIOYXJpc2dyYW5kcGxhY2VIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4Aryu14cGwAIB0gIkOGUyYWJiOGMtYjlkZC00NDI2LWIxNGYtNDQ0OTllOTU1NTcz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862,8.3,Stayed 4 nights~Leisure trip~Stayed 1 night~Business trip~Solo traveller~People with friends~Family Double Room~Classic Double or Twin Room~Superior Queen Room~Stayed 3 nights~Premium King Room~Stayed 2 nights~Couple~Superior Twin Room~Submitted via mobile~Family with young children,14,0,9,23
Golden Inn,https://www.booking.com/reviews/be/hotel/arisgrandplace.en-gb.html?label=gen173nr-1DCA0oFUIOYXJpc2dyYW5kcGxhY2VIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4Aryu14cGwAIB0gIkOGUyYWJiOGMtYjlkZC00NDI2LWIxNGYtNDQ0OTllOTU1NTcz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total;hp_nav=0;old_page=0;order=featuredreviews;page=6;r_lang=en;rows=75&,https://www.booking.com/hotel/be/arisgrandplace.en-gb.html?label=gen173nr-1DCA0oFUIOYXJpc2dyYW5kcGxhY2VIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4Aryu14cGwAIB0gIkOGUyYWJiOGMtYjlkZC00NDI2LWIxNGYtNDQ0OTllOTU1NTcz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862,8.3,Classic Single Room~Stayed 4 nights~Leisure trip~Stayed 1 night~Business trip~Solo traveller~People with friends~Classic Double or Twin Room~Group~Superior Queen Room~Stayed 3 nights~Premium King Room~Stayed 2 nights~Couple~Superior Twin Room~Submitted via mobile~Family with young children,14,0,11,25
Majestic Apartments,https://www.booking.com/reviews/be/hotel/art-de-sejour.en-gb.html?label=gen173nr-1DCA0oFUINYXJ0LWRlLXNlam91ckgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC3KvXhwbAAgHSAiQ2ZjFiZjE4NS02Y2RiLTQ4NWUtODc5Zi03MmE1MTZlMThlNWPYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/art-de-sejour.en-gb.html?label=gen173nr-1DCA0oFUINYXJ0LWRlLXNlam91ckgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC3KvXhwbAAgHSAiQ2ZjFiZjE4NS02Y2RiLTQ4NWUtODc5Zi03MmE1MTZlMThlNWPYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,9.8,Stayed 4 nights~Leisure trip~Stayed 1 night~Solo traveller~Superior Room with Bath~Stayed 7 nights~Superior Room~Stayed 3 nights~Stayed 2 nights~Couple~Stayed 5 nights~Submitted via mobile~Family with young children,24,0,0,24
Atlantic Bay Manor,https://www.booking.com/reviews/be/hotel/art-de-sejour.en-gb.html?label=gen173nr-1DCA0oFUINYXJ0LWRlLXNlam91ckgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC3KvXhwbAAgHSAiQ2ZjFiZjE4NS02Y2RiLTQ4NWUtODc5Zi03MmE1MTZlMThlNWPYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total;hp_nav=0;old_page=0;order=featuredreviews;page=2;r_lang=en;rows=75&,https://www.booking.com/hotel/be/art-de-sejour.en-gb.html?label=gen173nr-1DCA0oFUINYXJ0LWRlLXNlam91ckgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC3KvXhwbAAgHSAiQ2ZjFiZjE4NS02Y2RiLTQ4NWUtODc5Zi03MmE1MTZlMThlNWPYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,9.8,Stayed 4 nights~Leisure trip~Solo traveller~Stayed 1 night~Group~Superior Room with Bath~Superior Room~Stayed 3 nights~Stayed 2 nights~Couple~Submitted via mobile~Family with young children,23,0,0,23
Blue View Hotel,https://www.booking.com/reviews/be/hotel/art-de-sejour.en-gb.html?label=gen173nr-1DCA0oFUINYXJ0LWRlLXNlam91ckgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC3KvXhwbAAgHSAiQ2ZjFiZjE4NS02Y2RiLTQ4NWUtODc5Zi03MmE1MTZlMThlNWPYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total;hp_nav=0;old_page=0;order=featuredreviews;page=3;r_lang=en;rows=75&,https://www.booking.com/hotel/be/art-de-sejour.en-gb.html?label=gen173nr-1DCA0oFUINYXJ0LWRlLXNlam91ckgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC3KvXhwbAAgHSAiQ2ZjFiZjE4NS02Y2RiLTQ4NWUtODc5Zi03MmE1MTZlMThlNWPYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,9.8,Superior Studio~Stayed 4 nights~Leisure trip~Stayed 1 night~Business trip~Solo traveller~Group~Superior Room with Bath~Superior Room~Stayed 3 nights~Stayed 2 nights~Couple~Stayed 5 nights~Submitted via mobile~Family with young children,24,0,1,25
Urban Park Inn,https://www.booking.com/reviews/be/hotel/atrium.en-gb.html?label=gen173nr-1DCA0oFUIGYXRyaXVtSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKPuteHBsACAdICJDcxYzMxNzdjLTdlZmEtNGFhMC04OTMxLTVjNDc2Mjk2NDk2Y9gCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/atrium.en-gb.html?label=gen173nr-1DCA0oFUIGYXRyaXVtSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKPuteHBsACAdICJDcxYzMxNzdjLTdlZmEtNGFhMC04OTMxLTVjNDc2Mjk2NDk2Y9gCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,9.7,Stayed 4 nights~Leisure trip~Stayed 1 night~Business trip~Solo traveller~Stayed 12 nights~Stayed 3 nights~Apartment~Stayed 2 nights~Couple~Stayed 5 nights~Stayed 6 nights~Submitted via mobile,24,0,0,24
Diamond Apartments,https://www.booking.com/reviews/be/hotel/au-central-alle-sur-semois.en-gb.html?label=gen173nr-1DCA0oFUIaYXUtY2VudHJhbC1hbGxlLXN1ci1zZW1vaXNIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4AvnC14cGwAIB0gIkOTA1MzUxYzEtYTgyZS00OWEzLTkxZjMtMzdiZGRjMDllZmRj2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/au-central-alle-sur-semois.en-gb.html?label=gen173nr-1DCA0oFUIaYXUtY2VudHJhbC1hbGxlLXN1ci1zZW1vaXNIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4AvnC14cGwAIB0gIkOTA1MzUxYzEtYTgyZS00OWEzLTkxZjMtMzdiZGRjMDllZmRj2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862,8.3,Leisure trip~Stayed 1 night~Queen Room~Couple~Submitted via mobile,1,0,1,2
Cozy Residence,https://www.booking.com/reviews/be/hotel/au-chat-39-rme-des-blanches-pierres.en-gb.html?label=gen173nr-1DCA0oFUIjYXUtY2hhdC0zOS1ybWUtZGVzLWJsYW5jaGVzLXBpZXJyZXNIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4At7D14cGwAIB0gIkMjAyMjZkOGMtNzc5NS00NDUyLWJmOGItOTVlZGZhZDMzNzdl2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/au-chat-39-rme-des-blanches-pierres.en-gb.html?label=gen173nr-1DCA0oFUIjYXUtY2hhdC0zOS1ybWUtZGVzLWJsYW5jaGVzLXBpZXJyZXNIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4At7D14cGwAIB0gIkMjAyMjZkOGMtNzc5NS00NDUyLWJmOGItOTVlZGZhZDMzNzdl2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862,9.4,Stayed 4 nights~Leisure trip~Apartment - Split Level~Solo traveller~Business trip~Stayed 1 night~Standard Single Room with Shower~People with friends~Group~Stayed 3 nights~Duplex Apartment~Stayed 2 nights~Couple~Double Room with Balcony~Submitted via mobile,12,0,0,12
